number;name;address;position;banking;bonus;status;contract_name;bike_stands;available_bike_stands;available_bikes;last_update
20029;20029 - PORTE DES LILAS;57 RUE DES FRERES FLAVIEN - 75020 PARIS;48.8780992764, 2.41104629853;True;True;CLOSED;Paris;23;0;0;2017-10-09T08:20:43+02:00
11101;11101 - SQUARE NORDLING;15 RUE CHARLES DELESCLUZE - 75011 PARIS;48.8525290004, 2.38058363232;True;False;CLOSED;Paris;49;0;0;2017-10-09T08:21:29+02:00
16041;16041 - VERSAILLES;164 AVENUE DE VERSAILLES - 75016 PARIS;48.8402193381, 2.26383419115;True;False;CLOSED;Paris;43;0;0;2017-10-09T08:21:06+02:00
15061;15061 - DESNOUETTES;12 SQUARE DESNOUETTES - 75015 PARIS;48.8347683793, 2.28414229739;True;False;CLOSED;Paris;22;0;0;2017-10-09T08:24:04+02:00
13122;13122 - PARC DE CHOISY;FACE 153 AVENUE DE CHOISY - 75013 PARIS;48.8281562516, 2.3585135329;True;False;CLOSED;Paris;25;0;0;2017-10-09T08:28:58+02:00
21207;21207 - VERDIER (MONTROUGE);30 AVENUE VERDIER 92120 MONTROUGE;48.8155296337, 2.31702986373;True;False;CLOSED;Paris;29;0;0;2017-10-09T08:34:28+02:00
33012;33012 - LANDY (AUBERVILLIERS);FACE 2 RUE DU LANDY - 93300 AUBERVILLIERS;48.9151561828, 2.37642400951;True;False;CLOSED;Paris;30;0;0;2017-10-09T08:31:55+02:00
9012;09012 - ROUGEMONT;3-5 RUE ROUGEMONT - 75009 PARIS;48.8715422136, 2.3458364556;True;False;CLOSED;Paris;30;0;0;2017-10-09T08:35:27+02:00
16023;16023 - RUE DE PASSY;1 RUE DE PASSY - 75016 PARIS;48.8583812529, 2.28412901289;True;False;CLOSED;Paris;33;0;0;2017-10-09T08:40:22+02:00
13018;13018 - AURIOL CHEVALERET;1 RUE BRUANT - 75013 PARIS;48.8348484529, 2.36682649963;True;False;CLOSED;Paris;25;0;0;2017-10-09T08:36:26+02:00
23002;23002 - FRANCE (LEVALLOIS);157 ANATOLE FRANCE - 92300 LEVALLOIS;48.8983498515, 2.27917948879;True;False;CLOSED;Paris;50;1;0;2017-10-09T08:41:24+02:00
16102;16102 - PERGOLÈSE/ MARBEAU;52-54 RUE PERGOLÈSE - 75016 PARIS;48.8735687069, 2.28151252253;True;False;CLOSED;Paris;27;0;0;2017-10-09T08:46:09+02:00
14106;14106 - STADE DIDOT;20 avenue Marc Sangnier 75014 Paris;48.8253258701, 2.31067065347;True;False;CLOSED;Paris;21;0;0;2017-10-09T08:45:27+02:00
11039;11039 - JULES FERRY REPUBLIQUE;FACE 121 BOULEVARD RICHARD LENOIR - 75011 PARIS;48.8658042767, 2.36933707497;True;False;CLOSED;Paris;36;0;0;2017-10-09T08:43:20+02:00
16124;16124 - SÈVRES NEUILLY;Route de Sèvres à Neuilly - 75016 PARIS;48.8750959379, 2.249216988;True;False;CLOSED;Paris;66;0;0;2017-10-09T08:50:36+02:00
14034;14034 - RUE DE L OUEST CHATEAU;48 RUE DE L'OUEST - 75014 PARIS;48.8361728601, 2.31939214392;True;True;CLOSED;Paris;24;0;0;2017-10-09T08:54:08+02:00
15058;15058 - GEORGES POMPIDOU;4 PLACE DU MOULIN DE JAVEL - 75015 PARIS;48.8400944467, 2.27158991199;True;False;CLOSED;Paris;46;0;0;2017-10-09T08:57:20+02:00
15011;15011 - THEBAUD RUE DE CAMBRONNE;32 RUE CAMBRONNE - 75015 PARIS;48.8458314196, 2.30175308699;True;False;CLOSED;Paris;62;0;0;2017-10-09T09:00:26+02:00
9034;09034 - GODOT DE MAUROY;2 RUE GODOT DE MAUROY - 75009 PARIS;48.8699566816, 2.32659965711;True;False;CLOSED;Paris;22;0;0;2017-10-09T09:04:22+02:00
1016;01016 - OPERA PYRAMIDES;27 RUE THERESE - 75001 PARIS;48.8664835145, 2.33443342122;True;False;CLOSED;Paris;25;0;0;2017-10-09T09:05:36+02:00
6008;06008 - ASSAS LUXEMBOURG;90 RUE D'ASSAS - 75006 PARIS;48.8437344688, 2.33342838188;True;False;CLOSED;Paris;33;0;0;2017-10-09T09:08:53+02:00
19101;19101 - SIMON BOLIVAR;36 AVENUE SIMON BOLIVAR - 75019 PARIS;48.8750704041, 2.38259171498;True;True;CLOSED;Paris;24;0;0;2017-10-09T09:08:57+02:00
10115;10115 - DODU;1 - 3 RUE DES ECLUSES SAINT MARTIN - 75010 PARIS;48.8761373391, 2.36808449794;True;False;CLOSED;Paris;27;0;0;2017-10-09T09:07:54+02:00
31012;31012 - CARNOT (MONTREUIL);35/37 RUE CARNOT - 93100 MONTREUIL;48.855810311, 2.44152044245;True;False;CLOSED;Paris;25;0;0;2017-10-09T09:09:17+02:00
2016;02016 - ABOUKIR;108 RUE D'ABOUKIR - 75002 PARIS;48.8686604815, 2.35018588824;True;False;CLOSED;Paris;21;0;0;2017-10-09T09:11:24+02:00
19001;19001 - OURCQ CRIMEE;243 RUE DE CRIMEE - 75019 PARIS;48.8941041403, 2.37294608847;True;False;CLOSED;Paris;56;0;0;2017-10-09T09:27:34+02:00
16118;16118 - MICHEL ANGE;91 RUE MICHEL ANGE - 75016 PARIS;48.8406103997, 2.2583736582;True;False;CLOSED;Paris;26;0;0;2017-10-09T09:32:30+02:00
9013;09013 - MAIRIE DU 9EME;20 RUE DE LA GRANGE BATELIERE - 75009 PARIS;48.8732671376, 2.34075344805;True;False;CLOSED;Paris;25;0;0;2017-10-09T09:35:07+02:00
13037;13037 - IVRY BAUDICOURT;76 AVENUE D'IVRY - 75013 PARIS;48.8246959954, 2.36310607358;True;False;CLOSED;Paris;20;0;0;2017-10-09T09:44:05+02:00
19010;19010 - PORTE DE LA VILLETTE;RUE EMILE REYNAUD SUR TPC - 75019 PARIS;48.9011641134, 2.38859073387;True;False;CLOSED;Paris;22;0;0;2017-10-09T09:56:00+02:00
9020;09020 - TOUDOUZE CLAUZEL;FACE 27 RUE CLAUZEL - 75009 PARIS;48.8795052656, 2.33719063927;True;False;CLOSED;Paris;21;0;0;2017-10-09T09:55:20+02:00
12122;12122 - POLYGONE;AVENUE DU POLYGONE - 75012 PARIS;48.8354449162, 2.43142108144;True;False;CLOSED;Paris;50;0;0;2017-10-09T10:06:19+02:00
15009;15009 - SUFFREN;140 AVENUE DE SUFFREN - 75015 PARIS;48.8471756149, 2.3070521476;True;False;CLOSED;Paris;46;0;0;2017-10-09T10:11:14+02:00
22007;22007 - CHARCOT (NEUILLY);35-37 BOULEVARD DU COMMANDANT CHARCOT - 92200 NEUILLY SUR SEINE;48.8753602839, 2.25569933163;True;False;CLOSED;Paris;36;0;0;2017-10-09T10:24:36+02:00
22402;22402 - JAURES (MALAKOFF);10 AVENUE JEAN JAURES - 92240 MALAKOFF;48.8214600798, 2.30289945997;True;False;CLOSED;Paris;50;0;0;2017-10-09T10:35:33+02:00
20032;20032 - AMANDIERS;55 RUE DES CENDRIERS - 75020 PARIS;48.866295106, 2.38935041243;True;False;CLOSED;Paris;12;0;0;2017-10-09T10:33:28+02:00
13048;13048 - TOLBIAC WURTZ;20 RUE WURTZ - 75013 PARIS;48.8264943283, 2.34430171587;True;False;CLOSED;Paris;28;0;0;2017-10-09T10:31:33+02:00
43008;43008 - FONTENAY (VINCENNES);12 RUE DE FONTENAY - 94300 VINCENNES;48.8477906645, 2.44469088783;True;False;CLOSED;Paris;25;0;0;2017-10-09T10:40:26+02:00
10003;10003 - HAUTEVILLE;1 RUE D'HAUTEVILLE - 75010 PARIS;48.8707743602, 2.34964963683;True;False;CLOSED;Paris;17;0;0;2017-10-09T10:44:16+02:00
9023;09023 - ITALIENS LAFFITE;1 RUE LAFFITE - 75009 PARIS;48.8718157374, 2.33720154785;True;False;CLOSED;Paris;33;0;0;2017-10-09T10:42:56+02:00
14103;14103 - MAINE LIANCOURT;132 / 136 AVENUE DU MAINE - 75014 PARIS;48.835064364, 2.32373144997;True;False;CLOSED;Paris;27;0;0;2017-10-09T10:55:34+02:00
15126;15126 - RENAN;Avenue ERNEST RENAN / PARC DES EXPOSITIONS - 75015 PARIS;48.8311001873, 2.28538759483;True;False;CLOSED;Paris;50;0;0;2017-10-09T10:57:27+02:00
906;00906 - GARE DE L'EST;GARE DE L'EST-PARVIS GARE DE L'EST - 75010 PARIS;48.8764198136, 2.35863006454;True;False;CLOSED;Paris;20;0;0;2017-10-09T11:01:58+02:00
15002;15002 - BOURDELLE;26 AVENUE DU MAINE - 75015 PARIS;48.8430853175, 2.32026394678;True;False;CLOSED;Paris;17;0;0;2017-10-09T11:10:14+02:00
41603;41603 - PASTEUR (SAINT MANDE);AVENUE PASTEUR/AVENUE DE PARIS - 94160 SAINT MANDE;48.8457792192, 2.42377059524;True;False;CLOSED;Paris;19;0;0;2017-10-09T11:09:32+02:00
20008;20008 - MARAICHERS;73 RUE DES PYRENEES - 75020 PARIS;48.8532468982, 2.40587104453;True;False;CLOSED;Paris;31;0;0;2017-10-09T11:22:35+02:00
12015;12015 - NATION PICPUS;FACE 67 BOULEVARD DE PICPUS - 75012 PARIS;48.8469643595, 2.39986827743;True;False;CLOSED;Paris;36;0;0;2017-10-09T11:25:51+02:00
41602;41602 - DIGEON (SAINT MANDE);PLACE CHARLES DIGEON - 94160 SAINT MANDE;48.8435469599, 2.41831747657;True;False;CLOSED;Paris;32;0;0;2017-10-09T11:37:23+02:00
9101;09101 - CADET LA FAYETTE;24-26 RUE CADET - 75009 PARIS;48.8756396718, 2.34352359155;True;False;CLOSED;Paris;19;0;0;2017-10-09T11:41:57+02:00
15044;15044 - J DUPRE;65 RUE DANTZIG - 75015 PARIS;48.8302693903, 2.29600807609;True;True;CLOSED;Paris;33;0;0;2017-10-09T11:45:03+02:00
10015;10015 - RECOLLETS;46 RUE LUCIE SAMPAIX - 75010 PARIS;48.8741129165, 2.3624985287;True;False;OPEN;Paris;46;40;5;2017-10-09T11:42:41+02:00
16121;16121 - SABLONS MAILLOT;ROUTE PORTE DES SABLONS / PORTE MAILLOT - 75016 PARIS;48.8787208918, 2.27056809721;True;False;CLOSED;Paris;33;0;0;2017-10-09T12:03:13+02:00
16122;16122 - MUETTE NEUILLY;ROUTE DE LA MUETTE A NEUILLY - 75016 PARIS;48.8800796431, 2.25857658988;True;False;CLOSED;Paris;50;0;0;2017-10-09T12:09:08+02:00
22014;22014 - HUGO (NEUILLY);35 BOULEVARD VICTOR HUGO - 92200 NEUILLY;48.8878010686, 2.27807242437;True;False;CLOSED;Paris;25;0;0;2017-10-09T12:27:33+02:00
5106;05106 - CUJAS;22 RUE CUJAS - 75005 PARIS;48.8481913486, 2.34183165485;True;False;CLOSED;Paris;19;0;0;2017-10-09T13:10:17+02:00
16025;16025 - FONTAINE RAYNOUARD;4 RUE JEAN DE LA FONTAINE - 75016 PARIS;48.8527869441, 2.27558058419;True;False;CLOSED;Paris;69;0;0;2017-10-09T13:19:25+02:00
14112;14112 - FAUBOURG SAINT JACQUES CASSINI;FACE AU 25 RUE MECHAIN 75014 PARIS;48.835867721, 2.33798034198;True;False;CLOSED;Paris;16;0;0;2017-10-09T13:23:25+02:00
20110;20110 - PORTE DES LILAS;FACE 241 AVENUE GAMBETTA - 75020 PARIS;48.8754124219, 2.40596033115;True;True;CLOSED;Paris;20;0;0;2017-10-09T13:27:20+02:00
21110;21110 - VILLENEUVE (CLICHY);FACE 51 RUE VILLENEUVE - 92110 CLICHY;48.9055031145, 2.31082038171;True;False;CLOSED;Paris;35;0;0;2017-10-09T13:40:27+02:00
15003;15003 - GARE DE MONTPARNASSE;TP DU 1-13 BOULEVARD DE VAUGIRARD - 75015 PARIS;48.8418071799, 2.3195100269;True;False;CLOSED;Paris;67;0;0;2017-10-09T13:38:35+02:00
19020;19020 - MANIN HAUTPOUL;4-6 RUE GOUBET - 75019 PARIS;48.8846620656, 2.39020968745;True;False;CLOSED;Paris;23;0;0;2017-10-09T15:04:20+02:00
42003;42003 - INSURRECTION AOUT 1944 (IVRY);2 PLACE DE L'INSURRECTION AOUT 1944 - 94200 IVRY SUR SEINE;48.8146600822, 2.39826154064;True;False;CLOSED;Paris;30;0;0;2017-10-10T08:15:23+02:00
16027;16027 - JASMIN;79 AV MOZART- 75016 PARIS;48.8528612487, 2.26848357065;True;False;CLOSED;Paris;61;0;0;2017-10-10T08:20:18+02:00
15018;15018 - ALLERAY;85 RUE DUTOT - 75015 PARIS;48.8365756643, 2.30687451712;True;False;CLOSED;Paris;56;0;0;2017-10-10T08:19:51+02:00
10034;10034 - CHAPELLE LOUIS BLANC;68 RUE LOUIS BLANC - 75010 PARIS;48.8838493184, 2.36005308899;True;False;CLOSED;Paris;20;0;0;2017-10-10T08:22:14+02:00
20017;20017 - RUE SAINT BLAISE;69 RUE SAINT BLAISE - 75020 PARIS;48.85697494, 2.40884245741;True;False;CLOSED;Paris;27;0;0;2017-10-10T08:21:25+02:00
12115;12115 - PORTE DE VINCENNES;22 AVENUE DE LA PORTE DE VINCENNES - 75012 PARIS;48.8464193693, 2.41563660715;True;False;CLOSED;Paris;33;0;0;2017-10-10T08:26:12+02:00
11022;11022 - LEON BLUM ROQUETTE;142 RUE DE LA ROQUETTE - 75011 PARIS;48.858001906, 2.38179770265;True;False;CLOSED;Paris;16;0;0;2017-10-10T08:28:03+02:00
21018;21018 - SEINE (BOULOGNE-BILLANCOURT);FACE AU 13 RUE DE LA SEINE - 92100 BOULOGNE-BILLANCOURT;48.8282434942, 2.25065773964;True;False;CLOSED;Paris;26;0;0;2017-10-10T08:33:24+02:00
20119;20119 - SQUARE DE MENILMONTANT;138 RUE DE MENILMONTANT - 75020 PARIS;48.8701364587, 2.39669061288;True;True;CLOSED;Paris;25;0;0;2017-10-10T08:36:01+02:00
13008;13008 - ITALIE ROSALIE;FACE 2 PLACE D'ITALIE - 75013 PARIS;48.8319963692, 2.3548094727;True;True;CLOSED;Paris;53;0;0;2017-10-10T08:44:06+02:00
20045;20045 - LOUIS GANNE;3-5 RUE LOUIS GANNE - 75020 PARIS;48.8634696412, 2.40967010022;True;False;CLOSED;Paris;30;0;0;2017-10-10T08:42:55+02:00
2013;02013 - RICHELIEU DROUOT;20 RUE FAVART - 75002 PARIS;48.8714463539, 2.33829010585;True;False;CLOSED;Paris;17;0;0;2017-10-10T08:50:32+02:00
21309;21309 - CRESSON 2 (ISSY LES MOULINEAUX);1 BIS AVENUE VICTOR CRESSON - 92130 ISSY LES MOULINEAUX;48.8237184777, 2.27225445406;True;False;CLOSED;Paris;41;0;0;2017-10-10T08:46:46+02:00
15067;15067 - DESAIX;23 RUE DESAIX - 75015 PARIS;48.8528046049, 2.29307702986;True;False;CLOSED;Paris;12;0;0;2017-10-10T08:52:32+02:00
21010;21010 - SILLY (BOULOGNE-BILLANCOURT);93 RUE DE SILLY - 92100 BOULOGNE-BILLANCOURT;48.8355044075, 2.23253143242;True;False;CLOSED;Paris;25;0;0;2017-10-10T08:56:05+02:00
6010;06010 - MONTPARNASSE CHEVREUSE;5 RUE DE CHEVREUSE - 75006 PARIS;48.8417391612, 2.33155221674;True;False;CLOSED;Paris;15;0;0;2017-10-10T09:01:35+02:00
10002;10002 - STRASBOURG;3 BD STRASBOURG - 75010 PARIS;48.8696791245, 2.35432769738;True;False;CLOSED;Paris;17;0;0;2017-10-10T08:58:59+02:00
12111;12111 - DECAEN CANNEBIERE;73 RUE CLAUDE DECAEN - 75012 PARIS;48.8376141704, 2.3972537822;True;False;CLOSED;Paris;27;0;0;2017-10-10T09:12:13+02:00
15050;15050 - PADO - CROIX NIVERT;19 Rue Dominique Pado - 75015 PARIS;48.83656, 2.28976;True;False;CLOSED;Paris;22;0;0;2017-10-10T09:53:18+02:00
15014;15014 - VOLONTAIRES;25 RUE DES VOLONTAIRES - 75015 PARIS;48.8413205018, 2.30808901725;True;False;CLOSED;Paris;34;0;0;2017-10-10T10:07:04+02:00
9027;09027 - FONTAINE DOUAI;24 RUE DE DOUAI - 75009 PARIS;48.8823532598, 2.33326337275;True;False;CLOSED;Paris;25;1;0;2017-10-10T10:04:19+02:00
21007;21007 - RHIN DANUBE (BOULOGNE BILLANCOURT);15 ROND POINT RHIN DANUBE - 92100 BOULOGNE BILLANCOURT;48.8406492986, 2.22797877475;True;False;CLOSED;Paris;52;0;0;2017-10-10T10:13:23+02:00
16017;16017 - RUE DE SIAM;1 BIS RUE DE SIAM - 75016 PARIS;48.861720329, 2.27534656856;True;False;CLOSED;Paris;16;0;0;2017-10-10T11:02:50+02:00
21014;21014 - HAMEAU FLEURI (BOULOGNE-BILLANCOURT);FACE AU 12 RUE DU HAMEAU FLEURIE - 92100 BOULOGNE BILLANCOURT;48.8314286501, 2.24120465344;True;False;CLOSED;Paris;22;0;0;2017-10-10T11:12:46+02:00
11107;11107 - BIBLIOTHEQUE FAIDHERBE;11 RUE FAIDHERBE - 75011 PARIS;48.8515320053, 2.38372328829;True;False;OPEN;Paris;46;22;24;2017-10-11T11:57:12+02:00
19115;19115 - PORTE DE LA VILLETTE;1 AVENUE DE LA PORTE DE LA VILLETTE - 75019 PARIS;48.8984900531, 2.38612000821;True;False;OPEN;Paris;27;0;0;2017-10-13T15:07:44+02:00
14019;14019 - SARETTE GENERAL LECLERC;58 RUE SARRETTE - 75014 PARIS;48.8250308529, 2.3264128694;True;False;CLOSED;Paris;22;0;0;2017-10-16T07:25:03+02:00
21707;21707 - PASTEUR (VANVES);7 AVENUE PASTEUR 92170 VANVES;48.8250993292, 2.29250033146;True;False;CLOSED;Paris;24;0;0;2017-10-16T07:38:42+02:00
6013;06013 - JACQUES CALLOT;3 RUE JACQUES CALLOT 75006 PARIS;48.8552546878, 2.33753933406;True;False;CLOSED;Paris;28;0;0;2017-10-16T07:48:46+02:00
42010;42010 - ROBESPIERRE (IVRY);1 RUE ROBESPIERRE - 94200 IVRY;48.8108458646, 2.38395086342;True;False;CLOSED;Paris;53;0;0;2017-10-16T07:50:38+02:00
8029;08029 - PLACE DU CANADA;1 AVENUE FRANKLIN ROOSEVELT - 75008 PARIS;48.8653462694, 2.31019378796;True;False;CLOSED;Paris;36;0;0;2017-10-16T08:01:08+02:00
20005;20005 - RUE DE LAGNY SAINT MANDE;2 RUE REYNALDO HAHN - 75020 PARIS;48.8492660436, 2.41233032884;True;False;CLOSED;Paris;19;0;0;2017-10-16T08:07:25+02:00
16016;16016 - PAUL DOUMER / LA TOUR;53 AVENUE PAUL DOUMER - 75016 PARIS;48.8601161096, 2.28084048191;True;False;CLOSED;Paris;33;0;0;2017-10-16T08:14:36+02:00
22404;22404 - BROSSOLETTE 2 (MALAKOFF);102 AVENUE PIERRE BROSSOLETTE - 92240 MALAKOFF;48.8175597536, 2.30748584127;True;False;CLOSED;Paris;25;0;0;2017-10-16T08:13:36+02:00
12108;12108 - BERCY;FACE AU N°16 BOULEVARD DE BERCY - 75012 PARIS;48.84002, 2.37862;True;False;CLOSED;Paris;66;0;0;2017-10-16T08:16:32+02:00
15059;15059 - CITROEN;RUE BALARD - 75015 PARIS;48.8407143644, 2.27801857157;True;False;CLOSED;Paris;64;0;0;2017-10-16T08:26:02+02:00
19110;19110 - MACDONALD;180 Boulevard Macdonald - 75019 PARIS;48.89869, 2.3755;True;False;CLOSED;Paris;30;0;0;2017-10-16T08:28:06+02:00
9016;09016 - MARTYRS CHORON;24 RUE DE CHORON - 75009 PARIS;48.8777706953, 2.33978496751;True;False;CLOSED;Paris;17;0;0;2017-10-16T08:38:30+02:00
43003;43003 - PARIS 2 (VINCENNES);104 AVENUE DE PARIS - 94300 VINCENNES;48.8457199009, 2.42740630276;True;False;CLOSED;Paris;26;0;0;2017-10-16T08:35:33+02:00
5002;05002 - SAINT JACQUES;20 RUE SOMMERARD - 75005 PARIS;48.8503104329, 2.3450158353;True;False;CLOSED;Paris;35;0;0;2017-10-16T08:44:24+02:00
21104;21104 - SANZILLON (CLICHY);64 RUE DE MADAME DE SANZILLON - 92110 CLICHY;48.9036767023, 2.31917665758;True;False;CLOSED;Paris;22;0;0;2017-10-16T08:42:39+02:00
20022;20022 - PORTE DE BAGNOLET;1 RUE GEO CHAVEZ - 75020 PARIS;48.86508, 2.40799;True;True;CLOSED;Paris;33;0;0;2017-10-16T08:45:05+02:00
7014;07014 - SAINT FRANCOIS XAVIER;35 BOULEVARD DES INVALIDES - 75007 PARIS;48.851678229, 2.31463384063;True;False;CLOSED;Paris;42;0;0;2017-10-16T08:46:47+02:00
